settingtask_id,task_id,task_type,staff_id,staff_category,department_id,scheduled_hours,actual_hours,scheduled_day,actual_day,status,is_active,is_started,q_perf,q_deadline,q_status,a_mn
43,43,frontend,8,2,2,7,12,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
44,44,frontend,8,2,2,6,4,3,2,adopted_customer,False,False,0.6666666666666666,0.6666666666666666,1.0,0.767
45,45,frontend,8,2,2,5,9,2,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
46,46,frontend,8,2,2,6,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
47,47,frontend,8,2,2,5,4,2,2,adopted_customer,False,False,0.8,1.0,1.0,0.92
48,48,frontend,8,2,2,7,8,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
49,49,frontend,8,2,2,6,2,3,1,adopted_customer,False,False,0.3333333333333333,0.3333333333333333,1.0,0.533
50,50,frontend,8,2,2,8,4,4,2,adopted_customer,False,False,0.5,0.5,1.0,0.65
51,51,frontend,8,2,2,5,10,2,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
52,52,frontend,8,2,2,7,12,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
53,53,frontend,8,2,2,6,4,3,2,adopted_customer,False,False,0.6666666666666666,0.6666666666666666,1.0,0.767
54,54,integration,24,2,3,6,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
55,55,integration,24,2,3,8,7,4,3,adopted_customer,False,False,0.875,0.75,1.0,0.875
56,56,integration,24,2,3,10,12,5,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
57,57,integration,24,2,3,6,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
58,58,integration,24,2,3,7,14,3,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
59,59,integration,24,2,3,7,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
60,60,integration,24,2,3,6,12,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
61,61,integration,24,2,3,5,15,2,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
62,62,integration,24,2,3,8,1,4,0,adopted_customer,False,False,0.125,0.0,1.0,0.35
63,63,integration,24,2,3,6,14,3,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
64,64,integration,24,2,3,5,3,2,1,adopted_customer,False,False,0.6,0.5,1.0,0.69
65,65,devops,23,2,5,6,15,3,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
66,66,devops,23,2,5,6,5,3,2,adopted_customer,False,False,0.8333333333333334,0.6666666666666666,1.0,0.833
67,67,devops,23,2,5,7,3,3,1,adopted_customer,False,False,0.42857142857142855,0.3333333333333333,1.0,0.571
68,68,devops,23,2,5,5,6,2,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
69,69,devops,23,2,5,6,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
70,70,devops,23,2,5,6,14,3,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
71,71,devops,23,2,5,8,12,4,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
72,72,devops,23,2,5,7,5,3,2,adopted_customer,False,False,0.7142857142857143,0.6666666666666666,1.0,0.786
73,73,database,50,2,4,6,4,3,2,adopted_customer,False,False,0.6666666666666666,0.6666666666666666,1.0,0.767
74,74,database,50,2,4,5,4,2,2,adopted_customer,False,False,0.8,1.0,1.0,0.92
75,75,database,50,2,4,7,6,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
76,76,database,50,2,4,6,3,3,1,adopted_customer,False,False,0.5,0.3333333333333333,1.0,0.6
77,77,database,50,2,4,5,20,2,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
78,78,database,50,2,4,5,10,2,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
79,79,testing,32,2,8,7,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
80,80,testing,32,2,8,7,6,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
81,81,testing,32,2,8,6,10,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
82,82,testing,32,2,8,6,9,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
83,83,testing,32,2,8,5,8,2,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
84,84,testing,32,2,8,5,2,2,1,adopted_customer,False,False,0.4,0.5,1.0,0.61
85,85,backend,6,2,1,16,19,4,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
86,86,backend,6,2,1,18,16,4,4,adopted_customer,False,False,0.8888888888888888,1.0,1.0,0.956
87,87,backend,6,2,1,14,15,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
88,88,backend,6,2,1,15,18,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
89,89,backend,6,2,1,12,13,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
90,90,backend,6,2,1,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
91,91,backend,6,2,1,16,29,4,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
92,92,backend,6,2,1,18,6,4,1,adopted_customer,False,False,0.3333333333333333,0.25,1.0,0.508
93,93,backend,6,2,1,15,20,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
94,94,backend,6,2,1,14,24,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
95,95,backend,6,2,1,13,11,3,2,adopted_customer,False,False,0.8461538461538461,0.6666666666666666,1.0,0.838
96,96,backend,6,2,1,12,15,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
97,97,backend,6,2,1,14,28,3,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
98,98,backend,6,2,1,10,20,2,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
99,99,backend,6,2,1,16,24,4,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
100,100,frontend,8,2,2,15,20,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
101,101,frontend,8,2,2,18,20,4,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
102,102,frontend,8,2,2,14,41,3,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
103,103,frontend,8,2,2,15,23,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
104,104,frontend,8,2,2,13,14,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
105,105,frontend,8,2,2,14,8,3,2,adopted_customer,False,False,0.5714285714285714,0.6666666666666666,1.0,0.729
106,106,frontend,8,2,2,17,6,4,1,adopted_customer,False,False,0.35294117647058826,0.25,1.0,0.516
107,107,frontend,8,2,2,13,8,3,2,adopted_customer,False,False,0.6153846153846154,0.6666666666666666,1.0,0.746
108,108,frontend,8,2,2,16,20,4,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
109,109,frontend,8,2,2,15,12,3,3,adopted_customer,False,False,0.8,1.0,1.0,0.92
110,110,frontend,8,2,2,14,15,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
111,111,frontend,8,2,2,12,10,3,2,adopted_customer,False,False,0.8333333333333334,0.6666666666666666,1.0,0.833
112,112,frontend,8,2,2,13,8,3,2,adopted_customer,False,False,0.6153846153846154,0.6666666666666666,1.0,0.746
113,113,frontend,8,2,2,16,14,4,3,adopted_customer,False,False,0.875,0.75,1.0,0.875
114,114,frontend,8,2,2,14,10,3,2,adopted_customer,False,False,0.7142857142857143,0.6666666666666666,1.0,0.786
115,115,integration,24,2,3,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
116,116,integration,24,2,3,17,15,4,3,adopted_customer,False,False,0.8823529411764706,0.75,1.0,0.878
117,117,integration,24,2,3,14,17,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
118,118,integration,24,2,3,13,19,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
119,119,integration,24,2,3,14,10,3,2,adopted_customer,False,False,0.7142857142857143,0.6666666666666666,1.0,0.786
120,120,integration,24,2,3,12,5,3,1,adopted_customer,False,False,0.4166666666666667,0.3333333333333333,1.0,0.567
121,121,integration,24,2,3,15,10,3,2,adopted_customer,False,False,0.6666666666666666,0.6666666666666666,1.0,0.767
122,122,integration,24,2,3,13,10,3,2,adopted_customer,False,False,0.7692307692307693,0.6666666666666666,1.0,0.808
123,123,integration,24,2,3,14,34,3,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
124,124,integration,24,2,3,12,15,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
125,125,integration,24,2,3,13,10,3,2,adopted_customer,False,False,0.7692307692307693,0.6666666666666666,1.0,0.808
126,126,integration,24,2,3,14,9,3,2,adopted_customer,False,False,0.6428571428571429,0.6666666666666666,1.0,0.757
127,127,integration,24,2,3,15,10,3,2,adopted_customer,False,False,0.6666666666666666,0.6666666666666666,1.0,0.767
128,128,integration,24,2,3,13,14,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
129,129,devops,23,2,5,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
130,130,devops,23,2,5,16,14,4,3,adopted_customer,False,False,0.875,0.75,1.0,0.875
131,131,devops,23,2,5,14,17,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
132,132,devops,23,2,5,13,12,3,3,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
133,133,devops,23,2,5,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
134,134,devops,23,2,5,16,8,4,2,adopted_customer,False,False,0.5,0.5,1.0,0.65
135,135,devops,23,2,5,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
136,136,devops,23,2,5,15,43,3,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
137,137,devops,23,2,5,13,11,3,2,adopted_customer,False,False,0.8461538461538461,0.6666666666666666,1.0,0.838
138,138,devops,23,2,5,12,11,3,2,adopted_customer,False,False,0.9166666666666666,0.6666666666666666,1.0,0.867
139,139,devops,23,2,5,14,20,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
140,140,devops,23,2,5,15,14,3,3,adopted_customer,False,False,0.9333333333333333,1.0,1.0,0.973
141,141,devops,23,2,5,13,11,3,2,adopted_customer,False,False,0.8461538461538461,0.6666666666666666,1.0,0.838
142,142,devops,23,2,5,14,25,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
143,143,database,50,2,4,15,2,3,0,adopted_customer,False,False,0.13333333333333333,0.0,1.0,0.353
144,144,database,50,2,4,16,13,4,3,adopted_customer,False,False,0.8125,0.75,1.0,0.85
145,145,database,50,2,4,14,16,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
146,146,database,50,2,4,13,3,3,0,adopted_customer,False,False,0.23076923076923078,0.0,1.0,0.392
147,147,database,50,2,4,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
148,148,database,50,2,4,16,2,4,0,adopted_customer,False,False,0.125,0.0,1.0,0.35
149,149,database,50,2,4,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
150,150,database,50,2,4,13,9,3,2,adopted_customer,False,False,0.6923076923076923,0.6666666666666666,1.0,0.777
151,151,database,50,2,4,15,14,3,3,adopted_customer,False,False,0.9333333333333333,1.0,1.0,0.973
152,152,database,50,2,4,12,19,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
153,153,database,50,2,4,14,13,3,3,adopted_customer,False,False,0.9285714285714286,1.0,1.0,0.971
154,154,database,50,2,4,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
155,155,database,50,2,4,14,20,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
156,156,database,50,2,4,13,12,3,3,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
157,157,ml_ai,32,2,8,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
158,158,ml_ai,32,2,8,16,14,4,3,adopted_customer,False,False,0.875,0.75,1.0,0.875
159,159,ml_ai,32,2,8,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
160,160,ml_ai,32,2,8,13,11,3,2,adopted_customer,False,False,0.8461538461538461,0.6666666666666666,1.0,0.838
161,161,ml_ai,32,2,8,15,13,3,3,adopted_customer,False,False,0.8666666666666667,1.0,1.0,0.947
162,162,ml_ai,32,2,8,16,19,4,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
163,163,ml_ai,32,2,8,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
164,164,ml_ai,32,2,8,13,11,3,2,adopted_customer,False,False,0.8461538461538461,0.6666666666666666,1.0,0.838
165,165,ml_ai,32,2,8,15,20,3,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
166,166,ml_ai,32,2,8,12,11,3,2,adopted_customer,False,False,0.9166666666666666,0.6666666666666666,1.0,0.867
167,167,ml_ai,32,2,8,14,12,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
168,168,ml_ai,32,2,8,15,24,3,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
169,169,ml_ai,32,2,8,13,12,3,3,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
170,170,ml_ai,32,2,8,14,54,3,13,adopted_customer,False,False,1.0,1.0,1.0,1.0
171,171,backend,6,2,1,16,34,8,17,adopted_customer,False,False,1.0,1.0,1.0,1.0
172,172,backend,6,2,1,14,20,7,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
173,173,backend,6,2,1,15,21,7,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
174,174,backend,6,2,1,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
175,175,backend,6,2,1,150,240,75,120,adopted_customer,False,False,1.0,1.0,1.0,1.0
176,176,backend,6,2,1,14,16,7,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
177,177,backend,6,2,1,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
178,178,backend,6,2,1,13,17,6,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
179,179,backend,6,2,1,12,11,6,5,adopted_customer,False,False,0.9166666666666666,0.8333333333333334,1.0,0.917
180,180,backend,6,2,1,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
181,181,backend,6,2,1,10,9,5,4,adopted_customer,False,False,0.9,0.8,1.0,0.9
182,182,backend,6,2,1,12,11,6,5,adopted_customer,False,False,0.9166666666666666,0.8333333333333334,1.0,0.917
183,183,frontend,8,2,2,150,134,75,67,adopted_customer,False,False,0.8933333333333333,0.8933333333333333,1.0,0.925
184,184,frontend,8,2,2,13,20,6,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
185,185,frontend,8,2,2,15,25,7,12,adopted_customer,False,False,1.0,1.0,1.0,1.0
186,186,frontend,8,2,2,12,12,6,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
187,187,frontend,8,2,2,12,34,6,17,adopted_customer,False,False,1.0,1.0,1.0,1.0
188,188,frontend,8,2,2,13,20,6,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
189,189,frontend,8,2,2,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
190,190,frontend,8,2,2,12,20,6,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
191,191,frontend,8,2,2,10,10,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
192,192,frontend,8,2,2,10,9,5,4,adopted_customer,False,False,0.9,0.8,1.0,0.9
193,193,frontend,8,2,2,13,14,6,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
194,194,integration,24,2,3,14,10,7,5,adopted_customer,False,False,0.7142857142857143,0.7142857142857143,1.0,0.8
195,195,integration,24,2,3,13,15,6,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
196,196,integration,24,2,3,12,11,6,5,adopted_customer,False,False,0.9166666666666666,0.8333333333333334,1.0,0.917
197,197,integration,24,2,3,13,8,6,4,adopted_customer,False,False,0.6153846153846154,0.6666666666666666,1.0,0.746
198,198,integration,24,2,3,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
199,199,integration,24,2,3,14,14,7,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
200,200,integration,24,2,3,12,32,6,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
201,201,integration,24,2,3,10,9,5,4,adopted_customer,False,False,0.9,0.8,1.0,0.9
202,202,integration,24,2,3,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
203,203,integration,24,2,3,13,75,6,37,adopted_customer,False,False,1.0,1.0,1.0,1.0
204,204,devops,23,2,5,14,16,7,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
205,205,devops,23,2,5,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
206,206,devops,23,2,5,12,18,6,9,adopted_customer,False,False,1.0,1.0,1.0,1.0
207,207,devops,23,2,5,15,14,7,7,adopted_customer,False,False,0.9333333333333333,1.0,1.0,0.973
208,208,devops,23,2,5,12,22,6,11,adopted_customer,False,False,1.0,1.0,1.0,1.0
209,209,devops,23,2,5,11,11,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
210,210,devops,23,2,5,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
211,211,devops,23,2,5,14,13,7,6,adopted_customer,False,False,0.9285714285714286,0.8571428571428571,1.0,0.929
212,212,devops,23,2,5,11,8,5,4,adopted_customer,False,False,0.7272727272727273,0.8,1.0,0.831
213,213,devops,23,2,5,12,19,6,9,adopted_customer,False,False,1.0,1.0,1.0,1.0
214,214,database,50,2,4,14,13,7,6,adopted_customer,False,False,0.9285714285714286,0.8571428571428571,1.0,0.929
215,215,database,50,2,4,13,11,6,5,adopted_customer,False,False,0.8461538461538461,0.8333333333333334,1.0,0.888
216,216,database,50,2,4,12,12,6,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
217,217,database,50,2,4,13,8,6,4,adopted_customer,False,False,0.6153846153846154,0.6666666666666666,1.0,0.746
218,218,database,50,2,4,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
219,219,database,50,2,4,12,11,6,5,adopted_customer,False,False,0.9166666666666666,0.8333333333333334,1.0,0.917
220,220,database,50,2,4,11,10,5,5,adopted_customer,False,False,0.9090909090909091,1.0,1.0,0.964
221,221,database,50,2,4,14,22,7,11,adopted_customer,False,False,1.0,1.0,1.0,1.0
222,222,database,50,2,4,15,14,7,7,adopted_customer,False,False,0.9333333333333333,1.0,1.0,0.973
223,223,database,50,2,4,13,34,6,17,adopted_customer,False,False,1.0,1.0,1.0,1.0
224,224,ml_ai,15,2,6,15,13,7,6,adopted_customer,False,False,0.8666666666666667,0.8571428571428571,1.0,0.904
225,225,ml_ai,15,2,6,16,14,8,7,adopted_customer,False,False,0.875,0.875,1.0,0.913
226,226,ml_ai,15,2,6,14,20,7,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
227,227,ml_ai,15,2,6,13,11,6,5,adopted_customer,False,False,0.8461538461538461,0.8333333333333334,1.0,0.888
228,228,ml_ai,15,2,6,15,13,7,6,adopted_customer,False,False,0.8666666666666667,0.8571428571428571,1.0,0.904
229,229,ml_ai,15,2,6,16,40,8,20,adopted_customer,False,False,1.0,1.0,1.0,1.0
230,230,ml_ai,15,2,6,14,12,7,6,adopted_customer,False,False,0.8571428571428571,0.8571428571428571,1.0,0.9
231,231,ml_ai,15,2,6,13,17,6,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
232,232,ml_ai,15,2,6,15,14,7,7,adopted_customer,False,False,0.9333333333333333,1.0,1.0,0.973
233,233,ml_ai,15,2,6,12,18,6,9,adopted_customer,False,False,1.0,1.0,1.0,1.0
234,234,ml_ai,15,2,6,14,12,7,6,adopted_customer,False,False,0.8571428571428571,0.8571428571428571,1.0,0.9
235,235,ml_ai,15,2,6,15,8,7,4,adopted_customer,False,False,0.5333333333333333,0.5714285714285714,1.0,0.685
236,236,ml_ai,15,2,6,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
237,237,ml_ai,15,2,6,14,20,7,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
238,238,documentation,53,2,10,14,13,7,6,adopted_customer,False,False,0.9285714285714286,0.8571428571428571,1.0,0.929
239,239,documentation,53,2,10,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
240,240,documentation,53,2,10,22,32,11,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
241,241,documentation,53,2,10,13,32,6,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
242,242,documentation,53,2,10,11,5,5,2,adopted_customer,False,False,0.45454545454545453,0.4,1.0,0.602
243,243,documentation,53,2,10,20,39,10,19,adopted_customer,False,False,1.0,1.0,1.0,1.0
244,244,documentation,53,2,10,12,21,6,10,adopted_customer,False,False,1.0,1.0,1.0,1.0
245,245,documentation,53,2,10,11,11,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
246,246,documentation,53,2,10,42,51,21,25,adopted_customer,False,False,1.0,1.0,1.0,1.0
247,247,documentation,53,2,10,23,32,11,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
248,248,ux_ui,34,2,9,34,33,17,16,adopted_customer,False,False,0.9705882352941176,0.9411764705882353,1.0,0.971
249,249,ux_ui,34,2,9,33,31,16,15,adopted_customer,False,False,0.9393939393939394,0.9375,1.0,0.957
250,250,ux_ui,34,2,9,32,32,16,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
251,251,ux_ui,34,2,9,13,12,6,6,adopted_customer,False,False,0.9230769230769231,1.0,1.0,0.969
252,252,ux_ui,34,2,9,31,30,15,15,adopted_customer,False,False,0.967741935483871,1.0,1.0,0.987
253,253,ux_ui,34,2,9,32,32,16,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
254,254,ux_ui,34,2,9,31,30,15,15,adopted_customer,False,False,0.967741935483871,1.0,1.0,0.987
255,255,ux_ui,34,2,9,30,3,15,1,adopted_customer,False,False,0.1,0.06666666666666667,1.0,0.36
256,256,ux_ui,34,2,9,31,30,15,15,adopted_customer,False,False,0.967741935483871,1.0,1.0,0.987
257,257,ux_ui,34,2,9,32,31,16,15,adopted_customer,False,False,0.96875,0.9375,1.0,0.969
258,258,testing,32,2,8,34,35,17,17,adopted_customer,False,False,1.0,1.0,1.0,1.0
259,259,testing,32,2,8,33,33,16,16,adopted_customer,False,False,1.0,1.0,1.0,1.0
260,260,testing,32,2,8,35,34,17,17,adopted_customer,False,False,0.9714285714285714,1.0,1.0,0.989
261,261,testing,32,2,8,32,38,16,19,adopted_customer,False,False,1.0,1.0,1.0,1.0
262,262,testing,32,2,8,31,31,15,15,adopted_customer,False,False,1.0,1.0,1.0,1.0
263,263,testing,32,2,8,33,32,16,16,adopted_customer,False,False,0.9696969696969697,1.0,1.0,0.988
264,264,testing,32,2,8,30,23,15,11,adopted_customer,False,False,0.7666666666666667,0.7333333333333333,1.0,0.827
265,265,testing,32,2,8,32,31,16,15,adopted_customer,False,False,0.96875,0.9375,1.0,0.969
266,266,testing,32,2,8,33,37,16,18,adopted_customer,False,False,1.0,1.0,1.0,1.0
267,267,testing,32,2,8,34,36,17,18,adopted_customer,False,False,1.0,1.0,1.0,1.0
268,268,backend,6,2,1,48,46,24,23,adopted_customer,False,False,0.9583333333333334,0.9583333333333334,1.0,0.971
269,269,backend,6,2,1,152,239,76,119,adopted_customer,False,False,1.0,1.0,1.0,1.0
